Year,Period,Value
2021,M12,31.42
2021,M11,31.24
2021,M10,31.14
2021,M09,30.96
2021,M08,30.78
2021,M07,30.66
2021,M06,30.53
2021,M05,30.38
2021,M04,30.20
2021,M03,30.05
2021,M02,30.05
2021,M01,29.92
2020,M12,29.92
2020,M11,29.64
2020,M10,29.54
2020,M09,29.52
2020,M08,29.48
2020,M07,29.39
2020,M06,29.37
2020,M05,29.72
2020,M04,30.01
2020,M03,28.80
2020,M02,28.55
2020,M01,28.43
2019,M12,28.37
2019,M11,28.35
2019,M10,28.24
2019,M09,28.17
2019,M08,28.13
2019,M07,28.02
2019,M06,27.94
2019,M05,27.86
2019,M04,27.76
2019,M03,27.79
2019,M02,27.70
2019,M01,27.59
2018,M12,27.56
2018,M11,27.44
2018,M10,27.36
2018,M09,27.32
2018,M08,27.20
2018,M07,27.09
2018,M06,27.03
2018,M05,26.98
2018,M04,26.92
2018,M03,26.86
2018,M02,26.75
2018,M01,26.73
2017,M12,26.61
2017,M11,26.52
2017,M10,26.49
2017,M09,26.49
2017,M08,26.38
2017,M07,26.36
2017,M06,26.26
2017,M05,26.21
2017,M04,26.17
2017,M03,26.11
2017,M02,26.06
2017,M01,26.00
2016,M12,25.92
2016,M11,25.90
2016,M10,25.89
2016,M09,25.77
2016,M08,25.72
2016,M07,25.69
2016,M06,25.62
2016,M05,25.58
2016,M04,25.53
2016,M03,25.45
2016,M02,25.38
2016,M01,25.38
2015,M12,25.24
2015,M11,25.25
2015,M10,25.19
2015,M09,25.11
2015,M08,25.09
2015,M07,25.00
2015,M06,24.97
2015,M05,24.97
2015,M04,24.89
2015,M03,24.86
2015,M02,24.79
2015,M01,24.75
2014,M12,24.62
2014,M11,24.66
2014,M10,24.58
2014,M09,24.55
2014,M08,24.54
2014,M07,24.48
2014,M06,24.46
2014,M05,24.40
2014,M04,24.34
2014,M03,24.32
2014,M02,24.33
2014,M01,24.23
2013,M12,24.18
2013,M11,24.16
2013,M10,24.09
2013,M09,24.06
2013,M08,24.02
2013,M07,23.98
2013,M06,23.96
2013,M05,23.89
2013,M04,23.87
2013,M03,23.80
2013,M02,23.78
2013,M01,23.75
2012,M12,23.73
2012,M11,23.63
2012,M10,23.56
2012,M09,23.57
2012,M08,23.49
2012,M07,23.50
2012,M06,23.46
2012,M05,23.40
2012,M04,23.39
2012,M03,23.36
2012,M02,23.28
2012,M01,23.25
2011,M12,23.22
2011,M11,23.19
2011,M10,23.20
2011,M09,23.12
2011,M08,23.07
2011,M07,23.10
2011,M06,23.01
2011,M05,22.98
2011,M04,22.91
2011,M03,22.87
2011,M02,22.87
2011,M01,22.86
