Year,Period,Value
2021,M12,5613
2021,M11,5592
2021,M10,5563
2021,M09,5534
2021,M08,5520
2021,M07,5485
2021,M06,5444
2021,M05,5378
2021,M04,5369
2021,M03,5342
2021,M02,5325
2021,M01,5322
2020,M12,5311
2020,M11,5342
2020,M10,5352
2020,M09,5334
2020,M08,5287
2020,M07,5233
2020,M06,5093
2020,M05,4741
2020,M04,4512
2020,M03,5850
2020,M02,5940
2020,M01,5935
2019,M12,5915
2019,M11,5912
2019,M10,5895
2019,M09,5902
2019,M08,5900
2019,M07,5901
2019,M06,5897
2019,M05,5887
2019,M04,5891
2019,M03,5875
2019,M02,5854
2019,M01,5853
2018,M12,5846
2018,M11,5839
2018,M10,5841
2018,M09,5838
2018,M08,5829
2018,M07,5829
2018,M06,5844
2018,M05,5835
2018,M04,5824
2018,M03,5816
2018,M02,5814
2018,M01,5809
2017,M12,5805
2017,M11,5803
2017,M10,5793
2017,M09,5780
2017,M08,5777
2017,M07,5775
2017,M06,5769
2017,M05,5765
2017,M04,5753
2017,M03,5748
2017,M02,5741
2017,M01,5729
2016,M12,5711
2016,M11,5729
2016,M10,5720
2016,M09,5714
2016,M08,5702
2016,M07,5690
2016,M06,5682
2016,M05,5670
2016,M04,5678
2016,M03,5673
2016,M02,5666
2016,M01,5647
2015,M12,5653
2015,M11,5638
2015,M10,5630
2015,M09,5621
2015,M08,5621
2015,M07,5628
2015,M06,5615
2015,M05,5622
2015,M04,5614
2015,M03,5607
2015,M02,5606
2015,M01,5599
2014,M12,5593
2014,M11,5591
2014,M10,5581
2014,M09,5574
2014,M08,5580
2014,M07,5566
2014,M06,5562
2014,M05,5568
2014,M04,5565
2014,M03,5553
2014,M02,5535
2014,M01,5533
2013,M12,5525
2013,M11,5511
2013,M10,5509
2013,M09,5502
2013,M08,5493
2013,M07,5484
2013,M06,5479
2013,M05,5471
2013,M04,5455
2013,M03,5451
2013,M02,5456
2013,M01,5458
2012,M12,5452
2012,M11,5448
2012,M10,5446
2012,M09,5442
2012,M08,5431
2012,M07,5433
2012,M06,5425
2012,M05,5416
2012,M04,5416
2012,M03,5422
2012,M02,5414
2012,M01,5414
2011,M12,5402
2011,M11,5391
2011,M10,5383
2011,M09,5382
2011,M08,5377
2011,M07,5358
2011,M06,5353
2011,M05,5345
2011,M04,5341
2011,M03,5332
2011,M02,5337
2011,M01,5327
