Year,Period,Value
2021,M12,28189
2021,M11,28085
2021,M10,28015
2021,M09,27866
2021,M08,27715
2021,M07,27625
2021,M06,27582
2021,M05,27471
2021,M04,27402
2021,M03,27431
2021,M02,27310
2021,M01,27220
2020,M12,27109
2020,M11,27089
2020,M10,26965
2020,M09,26764
2020,M08,26626
2020,M07,26214
2020,M06,25954
2020,M05,24992
2020,M04,24570
2020,M03,27662
2020,M02,27746
2020,M01,27782
2019,M12,27739
2019,M11,27700
2019,M10,27697
2019,M09,27670
2019,M08,27650
2019,M07,27654
2019,M06,27639
2019,M05,27638
2019,M04,27631
2019,M03,27605
2019,M02,27601
2019,M01,27633
2018,M12,27576
2018,M11,27640
2018,M10,27570
2018,M09,27577
2018,M08,27600
2018,M07,27546
2018,M06,27544
2018,M05,27569
2018,M04,27518
2018,M03,27521
2018,M02,27454
2018,M01,27377
2017,M12,27406
2017,M11,27421
2017,M10,27372
2017,M09,27351
2017,M08,27332
2017,M07,27324
2017,M06,27320
2017,M05,27307
2017,M04,27298
2017,M03,27301
2017,M02,27314
2017,M01,27320
2016,M12,27270
2016,M11,27210
2016,M10,27231
2016,M09,27209
2016,M08,27198
2016,M07,27152
2016,M06,27109
2016,M05,27090
2016,M04,27073
2016,M03,27055
2016,M02,26979
2016,M01,26916
2015,M12,26910
2015,M11,26876
2015,M10,26853
2015,M09,26809
2015,M08,26821
2015,M07,26802
2015,M06,26762
2015,M05,26729
2015,M04,26664
2015,M03,26646
2015,M02,26599
2015,M01,26556
2014,M12,26528
2014,M11,26476
2014,M10,26425
2014,M09,26363
2014,M08,26315
2014,M07,26292
2014,M06,26237
2014,M05,26165
2014,M04,26124
2014,M03,26054
2014,M02,26001
2014,M01,26029
2013,M12,26011
2013,M11,25941
2013,M10,25879
2013,M09,25858
2013,M08,25791
2013,M07,25725
2013,M06,25683
2013,M05,25624
2013,M04,25595
2013,M03,25564
2013,M02,25568
2013,M01,25546
2012,M12,25508
2012,M11,25498
2012,M10,25424
2012,M09,25388
2012,M08,25360
2012,M07,25329
2012,M06,25323
2012,M05,25336
2012,M04,25287
2012,M03,25274
2012,M02,25245
2012,M01,25219
2011,M12,25122
2011,M11,25111
2011,M10,25082
2011,M09,25047
2011,M08,25029
2011,M07,25010
2011,M06,24963
2011,M05,24906
2011,M04,24893
2011,M03,24792
2011,M02,24745
2011,M01,24678
