Year,Period,Value
2021,M12,22056
2021,M11,22038
2021,M10,22037
2021,M09,22074
2021,M08,22100
2021,M07,22037
2021,M06,21999
2021,M05,21930
2021,M04,21929
2021,M03,21876
2021,M02,21793
2021,M01,21781
2020,M12,21671
2020,M11,21681
2020,M10,21767
2020,M09,21919
2020,M08,22011
2020,M07,21509
2020,M06,21407
2020,M05,21396
2020,M04,21927
2020,M03,22841
2020,M02,22871
2020,M01,22783
2019,M12,22723
2019,M11,22714
2019,M10,22675
2019,M09,22645
2019,M08,22614
2019,M07,22542
2019,M06,22577
2019,M05,22569
2019,M04,22610
2019,M03,22573
2019,M02,22536
2019,M01,22524
2018,M12,22511
2018,M11,22473
2018,M10,22479
2018,M09,22474
2018,M08,22468
2018,M07,22436
2018,M06,22482
2018,M05,22449
2018,M04,22444
2018,M03,22427
2018,M02,22419
2018,M01,22374
2017,M12,22384
2017,M11,22379
2017,M10,22361
2017,M09,22333
2017,M08,22310
2017,M07,22374
2017,M06,22360
2017,M05,22347
2017,M04,22335
2017,M03,22329
2017,M02,22326
2017,M01,22316
2016,M12,22304
2016,M11,22277
2016,M10,22295
2016,M09,22323
2016,M08,22284
2016,M07,22289
2016,M06,22180
2016,M05,22199
2016,M04,22184
2016,M03,22178
2016,M02,22138
2016,M01,22114
2015,M12,22097
2015,M11,22081
2015,M10,22056
2015,M09,22040
2015,M08,22060
2015,M07,22050
2015,M06,22015
2015,M05,22012
2015,M04,22005
2015,M03,21970
2015,M02,21978
2015,M01,21960
2014,M12,21947
2014,M11,21932
2014,M10,21917
2014,M09,21897
2014,M08,21855
2014,M07,21901
2014,M06,21895
2014,M05,21832
2014,M04,21853
2014,M03,21833
2014,M02,21825
2014,M01,21814
2013,M12,21820
2013,M11,21843
2013,M10,21830
2013,M09,21835
2013,M08,21831
2013,M07,21815
2013,M06,21840
2013,M05,21864
2013,M04,21869
2013,M03,21870
2013,M02,21881
2013,M01,21869
2012,M12,21887
2012,M11,21883
2012,M10,21903
2012,M09,21925
2012,M08,21916
2012,M07,21913
2012,M06,21930
2012,M05,21911
2012,M04,21931
2012,M03,21943
2012,M02,21947
2012,M01,21946
2011,M12,21954
2011,M11,21971
2011,M10,21998
2011,M09,21983
2011,M08,22017
2011,M07,22049
2011,M06,22164
2011,M05,22129
2011,M04,22184
2011,M03,22192
2011,M02,22215
2011,M01,22258
