Year,Period,Value
2021,M12,3.9
2021,M11,4.2
2021,M10,4.5
2021,M09,4.8
2021,M08,5.2
2021,M07,5.4
2021,M06,5.9
2021,M05,5.8
2021,M04,6.1
2021,M03,6.1
2021,M02,6.2
2021,M01,6.3
2020,M12,6.7
2020,M11,6.7
2020,M10,6.9
2020,M09,7.9
2020,M08,8.4
2020,M07,10.2
2020,M06,11.0
2020,M05,13.2
2020,M04,14.7
2020,M03,4.4
2020,M02,3.5
2020,M01,3.5
2019,M12,3.6
2019,M11,3.6
2019,M10,3.6
2019,M09,3.5
2019,M08,3.7
2019,M07,3.7
2019,M06,3.6
2019,M05,3.7
2019,M04,3.6
2019,M03,3.8
2019,M02,3.8
2019,M01,4.0
2018,M12,3.9
2018,M11,3.8
2018,M10,3.8
2018,M09,3.7
2018,M08,3.8
2018,M07,3.8
2018,M06,4.0
2018,M05,3.8
2018,M04,4.0
2018,M03,4.0
2018,M02,4.1
2018,M01,4.0
2017,M12,4.1
2017,M11,4.2
2017,M10,4.2
2017,M09,4.3
2017,M08,4.4
2017,M07,4.3
2017,M06,4.3
2017,M05,4.4
2017,M04,4.4
2017,M03,4.4
2017,M02,4.6
2017,M01,4.7
2016,M12,4.7
2016,M11,4.7
2016,M10,4.9
2016,M09,5.0
2016,M08,4.9
2016,M07,4.8
2016,M06,4.9
2016,M05,4.8
2016,M04,5.1
2016,M03,5.0
2016,M02,4.9
2016,M01,4.8
2015,M12,5.0
2015,M11,5.1
2015,M10,5.0
2015,M09,5.0
2015,M08,5.1
2015,M07,5.2
2015,M06,5.3
2015,M05,5.6
2015,M04,5.4
2015,M03,5.4
2015,M02,5.5
2015,M01,5.7
2014,M12,5.6
2014,M11,5.8
2014,M10,5.7
2014,M09,5.9
2014,M08,6.1
2014,M07,6.2
2014,M06,6.1
2014,M05,6.3
2014,M04,6.2
2014,M03,6.7
2014,M02,6.7
2014,M01,6.6
2013,M12,6.7
2013,M11,6.9
2013,M10,7.2
2013,M09,7.2
2013,M08,7.2
2013,M07,7.3
2013,M06,7.5
2013,M05,7.5
2013,M04,7.6
2013,M03,7.5
2013,M02,7.7
2013,M01,8.0
2012,M12,7.9
2012,M11,7.7
2012,M10,7.8
2012,M09,7.8
2012,M08,8.1
2012,M07,8.2
2012,M06,8.2
2012,M05,8.2
2012,M04,8.2
2012,M03,8.2
2012,M02,8.3
2012,M01,8.3
2011,M12,8.5
2011,M11,8.6
2011,M10,8.8
2011,M09,9.0
2011,M08,9.0
2011,M07,9.0
2011,M06,9.1
2011,M05,9.0
2011,M04,9.1
2011,M03,9.0
2011,M02,9.0
2011,M01,9.1
