Year,Period,Value
2021,M12,22069
2021,M11,21960
2021,M10,21821
2021,M09,21592
2021,M08,21500
2021,M07,21397
2021,M06,21234
2021,M05,21131
2021,M04,21048
2021,M03,21067
2021,M02,20940
2021,M01,20854
2020,M12,20710
2020,M11,20553
2020,M10,20449
2020,M09,20231
2020,M08,20111
2020,M07,19926
2020,M06,19734
2020,M05,19364
2020,M04,19170
2020,M03,21353
2020,M02,21437
2020,M01,21424
2019,M12,21422
2019,M11,21432
2019,M10,21425
2019,M09,21421
2019,M08,21413
2019,M07,21384
2019,M06,21363
2019,M05,21314
2019,M04,21269
2019,M03,21216
2019,M02,21191
2019,M01,21163
2018,M12,21157
2018,M11,21138
2018,M10,21134
2018,M09,21111
2018,M08,21080
2018,M07,21041
2018,M06,21029
2018,M05,20980
2018,M04,20920
2018,M03,20872
2018,M02,20825
2018,M01,20787
2017,M12,20728
2017,M11,20691
2017,M10,20677
2017,M09,20636
2017,M08,20640
2017,M07,20599
2017,M06,20559
2017,M05,20525
2017,M04,20464
2017,M03,20431
2017,M02,20400
2017,M01,20382
2016,M12,20341
2016,M11,20309
2016,M10,20273
2016,M09,20251
2016,M08,20182
2016,M07,20178
2016,M06,20134
2016,M05,20091
2016,M04,20084
2016,M03,20053
2016,M02,20029
2016,M01,20017
2015,M12,20006
2015,M11,19937
2015,M10,19902
2015,M09,19828
2015,M08,19808
2015,M07,19775
2015,M06,19742
2015,M05,19691
2015,M04,19609
2015,M03,19565
2015,M02,19537
2015,M01,19493
2014,M12,19468
2014,M11,19388
2014,M10,19334
2014,M09,19304
2014,M08,19249
2014,M07,19192
2014,M06,19155
2014,M05,19093
2014,M04,19053
2014,M03,18994
2014,M02,18948
2014,M01,18885
2013,M12,18838
2013,M11,18850
2013,M10,18782
2013,M09,18731
2013,M08,18702
2013,M07,18676
2013,M06,18630
2013,M05,18584
2013,M04,18530
2013,M03,18468
2013,M02,18412
2013,M01,18319
2012,M12,18277
2012,M11,18241
2012,M10,18187
2012,M09,18113
2012,M08,18098
2012,M07,18066
2012,M06,18023
2012,M05,17967
2012,M04,17942
2012,M03,17893
2012,M02,17859
2012,M01,17789
2011,M12,17703
2011,M11,17636
2011,M10,17601
2011,M09,17554
2011,M08,17490
2011,M07,17415
2011,M06,17406
2011,M05,17391
2011,M04,17340
2011,M03,17278
2011,M02,17212
2011,M01,17134
