Year,Period,Value
2021,M12,7594
2021,M11,7560
2021,M10,7514
2021,M09,7472
2021,M08,7431
2021,M07,7415
2021,M06,7400
2021,M05,7394
2021,M04,7406
2021,M03,7395
2021,M02,7291
2021,M01,7363
2020,M12,7355
2020,M11,7317
2020,M10,7310
2020,M09,7256
2020,M08,7225
2020,M07,7195
2020,M06,7170
2020,M05,7009
2020,M04,6527
2020,M03,7539
2020,M02,7608
2020,M01,7580
2019,M12,7528
2019,M11,7545
2019,M10,7556
2019,M09,7551
2019,M08,7530
2019,M07,7525
2019,M06,7511
2019,M05,7486
2019,M04,7459
2019,M03,7422
2019,M02,7396
2019,M01,7424
2018,M12,7396
2018,M11,7386
2018,M10,7389
2018,M09,7375
2018,M08,7347
2018,M07,7318
2018,M06,7292
2018,M05,7274
2018,M04,7212
2018,M03,7194
2018,M02,7184
2018,M01,7093
2017,M12,7091
2017,M11,7068
2017,M10,7031
2017,M09,7013
2017,M08,7002
2017,M07,6968
2017,M06,6962
2017,M05,6931
2017,M04,6916
2017,M03,6902
2017,M02,6881
2017,M01,6840
2016,M12,6818
2016,M11,6823
2016,M10,6799
2016,M09,6768
2016,M08,6736
2016,M07,6735
2016,M06,6701
2016,M05,6689
2016,M04,6702
2016,M03,6678
2016,M02,6640
2016,M01,6631
2015,M12,6630
2015,M11,6598
2015,M10,6547
2015,M09,6508
2015,M08,6490
2015,M07,6472
2015,M06,6441
2015,M05,6427
2015,M04,6392
2015,M03,6334
2015,M02,6361
2015,M01,6320
2014,M12,6293
2014,M11,6272
2014,M10,6259
2014,M09,6242
2014,M08,6210
2014,M07,6178
2014,M06,6133
2014,M05,6109
2014,M04,6084
2014,M03,6038
2014,M02,6007
2014,M01,5985
2013,M12,5932
2013,M11,5963
2013,M10,5931
2013,M09,5910
2013,M08,5878
2013,M07,5859
2013,M06,5855
2013,M05,5829
2013,M04,5796
2013,M03,5802
2013,M02,5784
2013,M01,5746
2012,M12,5724
2012,M11,5684
2012,M10,5674
2012,M09,5661
2012,M08,5648
2012,M07,5632
2012,M06,5621
2012,M05,5604
2012,M04,5618
2012,M03,5625
2012,M02,5629
2012,M01,5626
2011,M12,5611
2011,M11,5593
2011,M10,5588
2011,M09,5584
2011,M08,5552
2011,M07,5547
2011,M06,5528
2011,M05,5516
2011,M04,5485
2011,M03,5477
2011,M02,5451
2011,M01,5427
