Year,Period,Value
2021,M12,12584
2021,M11,12540
2021,M10,12496
2021,M09,12437
2021,M08,12395
2021,M07,12349
2021,M06,12276
2021,M05,12259
2021,M04,12228
2021,M03,12270
2021,M02,12222
2021,M01,12196
2020,M12,12199
2020,M11,12159
2020,M10,12125
2020,M09,12101
2020,M08,12044
2020,M07,12018
2020,M06,11977
2020,M05,11646
2020,M04,11414
2020,M03,12720
2020,M02,12785
2020,M01,12790
2019,M12,12801
2019,M11,12815
2019,M10,12772
2019,M09,12823
2019,M08,12825
2019,M07,12826
2019,M06,12820
2019,M05,12815
2019,M04,12820
2019,M03,12822
2019,M02,12822
2019,M01,12833
2018,M12,12796
2018,M11,12777
2018,M10,12767
2018,M09,12744
2018,M08,12725
2018,M07,12711
2018,M06,12691
2018,M05,12657
2018,M04,12631
2018,M03,12610
2018,M02,12584
2018,M01,12561
2017,M12,12533
2017,M11,12505
2017,M10,12490
2017,M09,12477
2017,M08,12467
2017,M07,12423
2017,M06,12422
2017,M05,12409
2017,M04,12400
2017,M03,12393
2017,M02,12380
2017,M01,12366
2016,M12,12355
2016,M11,12342
2016,M10,12345
2016,M09,12347
2016,M08,12348
2016,M07,12372
2016,M06,12350
2016,M05,12332
2016,M04,12353
2016,M03,12342
2016,M02,12365
2016,M01,12383
2015,M12,12362
2015,M11,12357
2015,M10,12362
2015,M09,12354
2015,M08,12345
2015,M07,12349
2015,M06,12334
2015,M05,12333
2015,M04,12318
2015,M03,12312
2015,M02,12301
2015,M01,12292
2014,M12,12292
2014,M11,12284
2014,M10,12259
2014,M09,12226
2014,M08,12208
2014,M07,12189
2014,M06,12170
2014,M05,12146
2014,M04,12134
2014,M03,12120
2014,M02,12106
2014,M01,12081
2013,M12,12083
2013,M11,12079
2013,M10,12056
2013,M09,12032
2013,M08,12014
2013,M07,11984
2013,M06,12004
2013,M05,12000
2013,M04,12000
2013,M03,11999
2013,M02,11996
2013,M01,11983
2012,M12,11960
2012,M11,11950
2012,M10,11961
2012,M09,11954
2012,M08,11960
2012,M07,11964
2012,M06,11936
2012,M05,11927
2012,M04,11916
2012,M03,11898
2012,M02,11860
2012,M01,11838
2011,M12,11802
2011,M11,11770
2011,M10,11780
2011,M09,11769
2011,M08,11764
2011,M07,11746
2011,M06,11727
2011,M05,11713
2011,M04,11704
2011,M03,11675
2011,M02,11654
2011,M01,11621
