Year,Period,Value
2021,M12,149742
2021,M11,149173
2021,M10,148559
2021,M09,147778
2021,M08,147221
2021,M07,146558
2021,M06,145789
2021,M05,145096
2021,M04,144614
2021,M03,144328
2021,M02,143544
2021,M01,142969
2020,M12,142475
2020,M11,142743
2020,M10,142479
2020,M09,141760
2020,M08,140799
2020,M07,139064
2020,M06,137620
2020,M05,133055
2020,M04,130430
2020,M03,150944
2020,M02,152371
2020,M01,152098
2019,M12,151764
2019,M11,151662
2019,M10,151447
2019,M09,151318
2019,M08,151111
2019,M07,150879
2019,M06,150797
2019,M05,150630
2019,M04,150563
2019,M03,150320
2019,M02,150092
2019,M01,150114
2018,M12,149805
2018,M11,149622
2018,M10,149526
2018,M09,149361
2018,M08,149272
2018,M07,149022
2018,M06,148966
2018,M05,148755
2018,M04,148426
2018,M03,148281
2018,M02,148058
2018,M01,147670
2017,M12,147521
2017,M11,147377
2017,M10,147147
2017,M09,146999
2017,M08,146907
2017,M07,146772
2017,M06,146588
2017,M05,146389
2017,M04,146172
2017,M03,145975
2017,M02,145845
2017,M01,145639
2016,M12,145408
2016,M11,145189
2016,M10,145069
2016,M09,144961
2016,M08,144664
2016,M07,144515
2016,M06,144152
2016,M05,143901
2016,M04,143856
2016,M03,143666
2016,M02,143410
2016,M01,143198
2015,M12,143083
2015,M11,142810
2015,M10,142585
2015,M09,142265
2015,M08,142130
2015,M07,141989
2015,M06,141695
2015,M05,141540
2015,M04,141202
2015,M03,140924
2015,M02,140829
2015,M01,140562
2014,M12,140366
2014,M11,140089
2014,M10,139805
2014,M09,139563
2014,M08,139258
2014,M07,139076
2014,M06,138833
2014,M05,138501
2014,M04,138298
2014,M03,137986
2014,M02,137707
2014,M01,137552
2013,M12,137368
2013,M11,137314
2013,M10,137039
2013,M09,136819
2013,M08,136635
2013,M07,136391
2013,M06,136269
2013,M05,136091
2013,M04,135876
2013,M03,135689
2013,M02,135544
2013,M01,135265
2012,M12,135075
2012,M11,134834
2012,M10,134671
2012,M09,134512
2012,M08,134330
2012,M07,134153
2012,M06,134007
2012,M05,133935
2012,M04,133827
2012,M03,133744
2012,M02,133518
2012,M01,133246
2011,M12,132901
2011,M11,132701
2011,M10,132557
2011,M09,132345
2011,M08,132124
2011,M07,131991
2011,M06,131936
2011,M05,131704
2011,M04,131604
2011,M03,131277
2011,M02,131052
2011,M01,130842
